,date,text
79,2020-11-12 07:45:23,"⚠️ توني أدامز قائد أرسنال السابق في تصريح لسكاي سبورت : 

"" لقد قلت دائمًا ما إذا كان أرسنال يريد الفوز بالدوري مرة أخرى ، فعليه الحصول على أفضل حارس مرمى. وبالنسبة لي ، ربما لا يكون لينو أفضل حارس مرمى. أشكك في أن ترك مارتينيز يرحل خطأ "" https://t.co/LrnogcYt1e"
80,2020-11-12 06:57:16,ديميتار برباتوف ينتقد حديث سولشاير عن ضغط المباريات ويعتبره عذراً غير كافٍ : مانشستر يونايتد يواجه ضغط المباريات لسنوات عديده خلال فترة وجوده وحتى قبل ذلك، اليونايتد معتاد على لعب البريميرليج ودوري ابطال اوووبا ومباريات الكؤوس والفوز بها، لا يمكن ان يكون عذراً، الوضع هو نفسه ! https://t.co/hQOCBk4ZCc
81,2020-11-12 06:33:19,"هدافي البريميرليغ الان بعد نهاية الجولة 8 :

8️⃣ -كالفيرت لوين 
8️⃣ - صلاح
8️⃣ - سون هيونغ
8️⃣ - فاردي 
7️⃣ - بامفورد 
7️⃣ - كين

هل سيكون الحذاء الذهبي من نصيب احدهم ام نرى اسم جديد في الجولات القادمة 🤔 https://t.co/lBSYm1m703"
82,2020-11-12 02:27:06,"قال رسول الله صلى الله عليه وسلم : ما من عبد يقول في صباح كل يوم ومساء كل ليلة بسم الله الذي لا يضر مع إسمه شيء في الأرض ولا في السماء وهو السميع العليم ثلاث مرات لم يضره شيء .

- ورد القرآن الكريم لهذا اليوم : https://t.co/CDOG7e9XLS"
83,2020-11-12 01:39:21,"🚨جون كروس - ميرور | جو غوميز قد يغيب عما تبقى من الموسم بسبب الاصابة في الركبة التي تعرض لها في تدريبات المنتخب الانجليزي

غوميز إنهار وكان يصرخ لحظة إصابته ، مخاوف وقلق من أنها قد تكون مشكلة في الركبة مشابهة للرباط الصليبي الذي عانى منه اللاعب قبل خمس سنوات .. https://t.co/NrZJV9GkcQ"
84,2020-11-11 22:48:47,"يقال ان مانشستر يونايتد سيتخذ خطوة لضم جاك غريليتش في حالة بيع بول بوغبا 

هذا ما تقوله الصحف 

(BBC) https://t.co/vQjYUdcdA1"
85,2020-11-11 21:55:45,🎥 اغويرو ضد نيمار 😂😂 https://t.co/ifX9EeKPM5
86,2020-11-11 21:46:15,"📊 ليفربول هذا الموسم في البريميرليغ  : 

• أكثر فريق تسديدا على المرمى 
• أكثر فريق تسديدا للكرات داخل منطقة العمليات 
• أكثر فريق تسديدا للكرات خارج منطقة العمليات  
• أكثر فريق قياما بالتمريرات   
• أكثر فريق حصولا على الركنيات 
• ثالث أكثر فريق تسجيلا للأهداف https://t.co/T69MT423pP"
87,2020-11-11 21:13:01,🎥 المهارة ماقبل الهدف صدفة أم ذكاء ❓😅 https://t.co/vreprqOJyL
88,2020-11-11 20:53:15,"⚠️ تحدث دينيس برايت عن زميله الجديد في ليستر سيتي تيموثي كاستانيي في تصريح لمجلة Sport /Foot : 

""ليس جميع اللاعبين الذين نجحوا في ايطاليا يمكنهم النجاح في البريميرليج ، لكن  تيموثي مختلف ، هو تم إنشاءه للدوري الانجليزي ، يمكنه الركض لمدة 90 دقيقة دون توقف ، إنه آلة"" https://t.co/Q7dEDgClZl"
